Repository,PR Number,PR Title,Created At,URL
n-koga96/practice-React-example-1,1,練習ブランチ１,2023-06-09 05:02:58,https://github.com/n-koga96/practice-React-example-1/pull/1
zhyunk/zb-mission-store-reserve,54,"#29 service , controller 정리",2023-08-02 18:11:46,https://github.com/zhyunk/zb-mission-store-reserve/pull/54
TodePond/WhenWillProgrammersStopMakingDecisionsForOurSocietyAndJustLeaveUsAloneAlsoHackerNewsIsAVileWebsite,74,[DRAFT] Make an interpreter for this abomination,2023-06-05 01:41:31,https://github.com/TodePond/WhenWillProgrammersStopMakingDecisionsForOurSocietyAndJustLeaveUsAloneAlsoHackerNewsIsAVileWebsite/pull/74
