Repository,Min Date,Max Date,Range,Number of PRs,PR from GitHub,Difference
KudoAI/chatgpt.js,2023-07-08,2023-07-22,15,1,30,29
danny-avila/LibreChat,2023-07-28,2023-08-11,15,1,44,43
ubiquity/ubiquity-dollar,2023-07-01,2023-07-15,15,1,17,16
daydule/frontend,2023-06-10,2023-06-24,15,1,3,2
paul-gauthier/aider,2023-07-11,2023-07-25,15,1,16,15
FixMyBerlin/atlas-app,2023-08-07,2023-08-21,15,1,1,0
laravel-json-api/core,2023-07-06,2023-07-20,15,1,1,0
jefftriplett/frontmatter-cli,2023-06-01,2023-06-15,15,1,1,0
citusdata/activerecord-multi-tenant,2023-05-23,2023-06-06,15,1,5,4
ryoikegata/template-ph3-website,2023-06-04,2023-06-18,15,1,1,0
gradio-app/gradio,2023-08-03,2023-08-17,15,1,73,72
Ayahiro-Inatsugu/ph3-website-private,2023-06-02,2023-06-16,15,1,2,1
StreamSG/ABCWorkshop,2023-05-16,2023-05-30,15,1,1,0
VOICEVOX/voicevox,2023-06-29,2023-08-15,48,5,96,91
TodePond/WhenWillProgrammersStopMakingDecisionsForOurSocietyAndJustLeaveUsAloneAlsoHackerNewsIsAVileWebsite,2023-05-29,2023-06-12,15,1,0,1
cucumber/docs,2023-05-24,2023-06-07,15,1,3,2
ggerganov/llama.cpp,2023-05-27,2023-06-18,23,3,131,128
telosnetwork/open-block-explorer,2023-06-01,2023-06-15,15,1,4,3
lfortran/lfortran,2023-06-02,2023-06-16,15,1,53,52
dust-tt/dust,2023-05-19,2023-06-02,15,1,75,74
wafflestudio/wacruit-server,2023-07-15,2023-07-29,15,1,20,19
skrub-data/skrub,2023-06-01,2023-06-15,15,1,33,32
HinanoOno/template-ph3-website,2023-06-04,2023-06-18,15,1,1,0
dwyl/imgup,2023-06-05,2023-06-19,15,1,9,8
bytedeck/bytedeck,2023-07-22,2023-08-05,15,1,7,6
OSRSB/OsrsBot,2023-07-03,2023-07-17,15,1,28,27
Ludeon/RimWorld-ru,2023-06-30,2023-07-14,15,1,6,5
databrickslabs/pyspark-ai,2023-06-06,2023-06-20,15,1,11,10
kazuki1023/template_ph3_website_private,2023-05-31,2023-06-14,15,1,9,8
faker-js/faker,2023-06-24,2023-07-08,15,1,19,18
PostHog/posthog.com,2023-08-01,2023-08-15,15,1,78,77
CodeIntelligenceTesting/cifuzz,2023-06-08,2023-06-22,15,1,35,34
PolicyEngine/policyengine-us,2023-07-26,2023-08-09,15,1,53,52
picobyte/stable-diffusion-webui-wd14-tagger,2023-07-08,2023-07-22,15,1,7,6
snapshot-labs/snapshot,2023-05-20,2023-06-03,15,1,32,31
Theta-Limited/OpenAthenaAndroid,2023-07-16,2023-08-02,18,4,10,6
internetarchive/iaux-collection-browser,2023-06-14,2023-06-28,15,1,4,3
PaulRBerg/prb-proxy,2023-06-10,2023-06-24,15,1,11,10
rails/rails,2023-06-19,2023-07-03,15,1,95,94
mdn/content,2023-05-24,2023-06-07,15,1,186,185
astahmer/openapi-zod-client,2023-05-29,2023-06-12,15,1,8,7
jhipster/generator-jhipster,2023-05-29,2023-06-12,15,1,191,190
energietransitie/twomes-p1-reader-firmware,2023-05-29,2023-06-12,15,1,5,4
JushBJJ/Mr.-Ranedeer-AI-Tutor,2023-05-02,2023-05-16,15,1,16,15
fscarmen2/Argo-Nezha-Service-Container,2023-06-07,2023-06-21,15,1,3,2
dotCMS/core,2023-06-29,2023-07-13,15,1,75,74
binary-com/deriv-app,2023-06-06,2023-06-20,15,1,175,174
OpenAdaptAI/OpenAdapt,2023-05-30,2023-06-13,15,1,28,27
osmosis-labs/osmosis-frontend,2023-07-24,2023-08-07,15,1,51,50
VOICEVOX/voicevox_engine,2023-07-02,2023-07-16,15,1,3,2
roboflow/supervision,2023-06-27,2023-07-11,15,1,15,14
